PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"24251157","Parathyroid carcinoma masquerading as morning sickness in pregnancy","Panchani R, Varma T, Goyal A, Tripathi S.","Indian J Endocrinol Metab. 2013 Oct;17(Suppl 1):S198-200. doi: 10.4103/2230-8210.119570.","Panchani R","Indian J Endocrinol Metab","2013","2013/11/20","PMC3830303","","10.4103/2230-8210.119570"
"3280478","Effector lymphocyte response to homologous tumor antigens in various stages of malignant disease as monitored by leukocyte adherence inhibition--cell mediated immunity (LAI-CMI)","Tsang PH, Roboz JP, Holland JF, Bekesi JG.","Immunol Lett. 1988 Jan;17(1):63-70. doi: 10.1016/0165-2478(88)90103-4.","Tsang PH","Immunol Lett","1988","1988/01/01","","","10.1016/0165-2478(88)90103-4"
"9059410","Lung nodule conspicuity using unsharp mask filters with storage-phosphor-based computed radiography","Li F, Sone S, Kiyono K.","Acta Radiol. 1997 Jan;38(1):99-103. doi: 10.1080/02841859709171250.","Li F","Acta Radiol","1997","1997/01/01","","","10.1080/02841859709171250"
"9729920","Assessment of triethylamine and diethylamine emission from military gas mask canisters","Verma DK, Pagotto JG, Shaw DS, Destombe K, Nieboer E.","Ann Occup Hyg. 1998 Jul;42(5):325-30. doi: 10.1016/s0003-4878(98)00042-8.","Verma DK","Ann Occup Hyg","1998","1998/09/08","","","10.1016/s0003-4878(98)00042-8"
"1471814","Measurements of the efficiency of respirator filters and filtering facepieces against radon daughter aerosols","Wake D, Brown RC, Trottier RA, Liu Y.","Ann Occup Hyg. 1992 Dec;36(6):629-36. doi: 10.1093/annhyg/36.6.629.","Wake D","Ann Occup Hyg","1992","1992/12/01","","","10.1093/annhyg/36.6.629"
"11084023","Evidence for the selective population of FeMo cofactor sites in MoFe protein and its molecular recognition by the Fe protein in transition state complex analogues of nitrogenase","Grossmann JG, Hasnain SS, Yousafzai FK, Eady RR.","J Biol Chem. 2001 Mar 2;276(9):6582-90. doi: 10.1074/jbc.M005350200. Epub 2000 Nov 17.","Grossmann JG","J Biol Chem","2001","2000/11/21","","","10.1074/jbc.M005350200"
"17228382","Dispersion multiplexing with broadband filtering for miniature spectrometers","Cull EC, Gehm ME, Brady DJ, Hsieh CR, Momtahan O, Adibi A.","Appl Opt. 2007 Jan 20;46(3):365-74. doi: 10.1364/ao.46.000365.","Cull EC","Appl Opt","2007","2007/01/18","","","10.1364/ao.46.000365"
"9323282","X-linked hypophosphatemia: effects of treatment with recombinant human growth hormone","Reusz GS, Miltényi G, Stubnya G, Szabó A, Horváth C, Byrd DJ, Péter F, Tulassay T.","Pediatr Nephrol. 1997 Oct;11(5):573-7. doi: 10.1007/s004670050340.","Reusz GS","Pediatr Nephrol","1997","1997/11/05","","","10.1007/s004670050340"
"2399307","Storage phosphor versus screen-film radiography: effect of varying exposure parameters and unsharp mask filtering on the detectability of cortical bone defects","Prokop M, Galanski M, Oestmann JW, von Falkenhausen U, Rosenthal H, Reimer P, Nischelsky J, Reichelt S.","Radiology. 1990 Oct;177(1):109-13. doi: 10.1148/radiology.177.1.2399307.","Prokop M","Radiology","1990","1990/10/01","","","10.1148/radiology.177.1.2399307"
"19531285","Control of out-of-focus light intensity in confocal raman microscopy using optical preprocessing","Pelletier MJ.","Appl Spectrosc. 2009 Jun;63(6):591-6. doi: 10.1366/000370209788559548.","Pelletier MJ","Appl Spectrosc","2009","2009/06/18","","","10.1366/000370209788559548"
"15028603","Atypical [(3)H]clonidine binding sites in human caudate and platelets on cryostat-cut sections","Zhu H, Halaris A, Piletz JE.","Ann N Y Acad Sci. 2003 Dec;1009:296-301. doi: 10.1196/annals.1304.038.","Zhu H","Ann N Y Acad Sci","2003","2004/03/19","","","10.1196/annals.1304.038"
"2821989","Membrane protein phosphotyrosine phosphatase in rabbit kidney. Proteolysis activates the enzyme and generates soluble catalytic fragments","Rotenberg SA, Brautigan DL.","Biochem J. 1987 May 1;243(3):747-54. doi: 10.1042/bj2430747.","Rotenberg SA","Biochem J","1987","1987/05/01","PMC1147921","","10.1042/bj2430747"
"11876324","New class of axially apodizing filters for confocal scanning microscopy","Boyer G.","J Opt Soc Am A Opt Image Sci Vis. 2002 Mar;19(3):584-9. doi: 10.1364/josaa.19.000584.","Boyer G","J Opt Soc Am A Opt Image Sci Vis","2002","2002/03/06","","","10.1364/josaa.19.000584"
"9596639","BiP and calreticulin form an abundant complex that is independent of endoplasmic reticulum stress","Crofts AJ, Leborgne-Castel N, Pesca M, Vitale A, Denecke J.","Plant Cell. 1998 May;10(5):813-24. doi: 10.1105/tpc.10.5.813.","Crofts AJ","Plant Cell","1998","1998/06/03","PMC144022","","10.1105/tpc.10.5.813"
"2807999","Efficiency of respirator canisters with methyl bromide","Tanaka S, Abuku S, Imaizumi K, Ishizuka H, Seki Y, Imamiya S.","Ind Health. 1989;27(3):111-20. doi: 10.2486/indhealth.27.111.","Tanaka S","Ind Health","1989","1989/01/01","","","10.2486/indhealth.27.111"
"4557263","How far do bacteria travel from the exhalation valve of IPPB equipment?","Dyer ED, Peterson DE.","Anesth Analg. 1972 Jul-Aug;51(4):516-9.","Dyer ED","Anesth Analg","1972","1972/07/01","","",""
"10978825","The relative role of beats and combination tones in determining the shapes of masking patterns at 2 kHz: I. Normal-hearing listeners","Alcántara JI, Moore BC, Vickers DA.","Hear Res. 2000 Oct;148(1-2):63-73. doi: 10.1016/s0378-5955(00)00114-3.","Alcántara JI","Hear Res","2000","2000/09/09","","","10.1016/s0378-5955(00)00114-3"
"9205724","Vernier acuity with plaid masks: the role of oriented filters in vernier acuity","Mussap AJ, Levi DM.","Vision Res. 1997 May;37(10):1325-40. doi: 10.1016/s0042-6989(96)00192-7.","Mussap AJ","Vision Res","1997","1997/05/01","","","10.1016/s0042-6989(96)00192-7"
"8045846","Inhibition of eicosanoids does not prevent neutrophil injury from phorbol in isolated rabbit lung","Littner MR, Lott FD.","J Appl Physiol (1985). 1994 Apr;76(4):1664-74. doi: 10.1152/jappl.1994.76.4.1664.","Littner MR","J Appl Physiol (1985)","1994","1994/04/01","","","10.1152/jappl.1994.76.4.1664"
"1625104","The insufficiency of single point diffusive air flow integrity testing","Meltzer TH.","J Parenter Sci Technol. 1992 Jan-Feb;46(1):19-21.","Meltzer TH","J Parenter Sci Technol","1992","1992/01/01","","",""
"7791091","Effects of cicletanine on kidney function. 2. Role of renal prostaglandins and kinins, and of muscarinic receptors","Greven J, Rahn A, Brändle E.","J Pharmacol Exp Ther. 1995 Jun;273(3):1197-202.","Greven J","J Pharmacol Exp Ther","1995","1995/06/01","","",""
"973974","Agonist and antagonist effects of Sar1-ala8--angiotensin II in salt-loaded and salt-depleted normal man","MacGregor GA, Dawes PM.","Br J Clin Pharmacol. 1976 Jun;3(3):483-7. doi: 10.1111/j.1365-2125.1976.tb00625.x.","MacGregor GA","Br J Clin Pharmacol","1976","1976/06/01","PMC2958757","","10.1111/j.1365-2125.1976.tb00625.x"
"3926896","Induction of antibody responses to influenza virus in human lymphocyte cultures. I. Role of interleukin 2","Tan PL, Booth RJ, Prestidge RL, Watson JD, Dower SK, Gillis S.","J Immunol. 1985 Sep;135(3):2128-33.","Tan PL","J Immunol","1985","1985/09/01","","",""
"6506478","Spatial visual channels in the Fourier plane","Daugman JG.","Vision Res. 1984;24(9):891-910. doi: 10.1016/0042-6989(84)90065-8.","Daugman JG","Vision Res","1984","1984/01/01","","","10.1016/0042-6989(84)90065-8"
"3541925","Partial purification and characterization of masking protein for beta-type transforming growth factor from rat platelets","Nakamura T, Kitazawa T, Ichihara A.","Biochem Biophys Res Commun. 1986 Nov 26;141(1):176-84. doi: 10.1016/s0006-291x(86)80351-5.","Nakamura T","Biochem Biophys Res Commun","1986","1986/11/26","","","10.1016/s0006-291x(86)80351-5"
"1699964","Serum HCG beta-core fragment is masked by associated macromolecules","Kardana A, Cole LA.","J Clin Endocrinol Metab. 1990 Nov;71(5):1393-5. doi: 10.1210/jcem-71-5-1393.","Kardana A","J Clin Endocrinol Metab","1990","1990/11/01","","","10.1210/jcem-71-5-1393"
"1516168","Blockade of beta 1-integrins in skin causes edema through lowering of interstitial fluid pressure","Reed RK, Rubin K, Wiig H, Rodt SA.","Circ Res. 1992 Oct;71(4):978-83. doi: 10.1161/01.res.71.4.978.","Reed RK","Circ Res","1992","1992/10/01","","","10.1161/01.res.71.4.978"
"8917808","Spatial properties of filters underlying vernier acuity revealed by masking: evidence for collator mechanisms","Mussap AJ, Levi DM.","Vision Res. 1996 Aug;36(16):2459-73. doi: 10.1016/0042-6989(95)00306-1.","Mussap AJ","Vision Res","1996","1996/08/01","","","10.1016/0042-6989(95)00306-1"
"8051099","Subunit association and structural analysis of platelet basic protein and related proteins investigated by 1H NMR spectroscopy and circular dichroism","Yang Y, Mayo KH, Daly TJ, Barry JK, La Rosa GJ.","J Biol Chem. 1994 Aug 5;269(31):20110-8.","Yang Y","J Biol Chem","1994","1994/08/05","","",""
"18964163","The effect of hydrolysed aluminium species in fluoride ion determinations","Pickering WF.","Talanta. 1986 Aug;33(8):661-4. doi: 10.1016/0039-9140(86)80154-0.","Pickering WF","Talanta","1986","1986/08/01","","","10.1016/0039-9140(86)80154-0"
